lat,long,Id,LotArea,balcony,loggia,veranda,kitchen,numberOfFloors,floor,numberOfRooms,numberOfBedrooms,ceilingHeight,numberOfBathrooms,SalePrice
41.7960476,44.8096554,272162,71,0,0,0,0,10,7,3,2,3,1,58000
41.73161410000001,44.7895086,270869,96,0,0,0,0,11,6,3,2,0,1,90000
41.7274332,44.737804,269250,115,0,0,0,0,10,9,4,3,0,0,97000
41.74974049999999,44.78553349999999,263777,95,0,0,0,0,18,9,4,3,0,1,71250
41.72024469999999,44.7649224,252787,90,0,0,0,0,8,2,3,2,3,1,78000
41.66950980000001,44.8955279,272304,50,0,0,0,0,17,12,2,1,3,1,32500
41.6962303,44.8251518,272303,122,0,0,0,0,6,4,4,3,3,2,91575
41.78198999597204,44.79787540860247,272291,74,0,0,0,0,9,2,3,2,0,1,50000
41.7424432,44.761506,272287,122,0,0,0,0,9,2,4,3,0,2,115000
41.706978,44.8024312,272280,83,0,0,0,0,2,1,3,0,0,1,125000
41.706332700463,44.7368592,272262,108,2,0,0,0,10,3,4,3,0,1,114000
41.705789600463,44.7767633,272254,151,2,0,0,0,9,9,4,3,0,2,140000
41.706332700463,44.7368592,272251,100,1,0,0,0,10,3,3,2,0,1,95000
41.730651100465,44.7573802,272248,80,1,0,0,0,10,4,3,2,0,1,115000
41.781916028093015,44.79787993042647,272247,74,0,0,0,0,14,2,3,2,0,1,50000
41.766296336538,44.776306677804,272238,69,1,0,0,0,16,7,2,1,0,1,82000
41.726283300464,44.7535178,272230,120,1,0,0,0,8,1,3,2,0,2,105000
41.7010643601405,44.732947232933,272208,60,1,0,0,0,10,4,2,1,0,1,75000
41.749133900466,44.7771551,272200,35,0,0,0,0,8,1,1,1,0,1,37000
41.751530900466,44.7319865,272196,57,0,0,0,0,5,3,2,1,0,1,91000
41.6986768,44.6975318,272173,50,0,0,0,0,3,2,1,1,0,1,58000
42.5152253,41.8973472,272160,180,0,0,0,0,4,2,5,3,0,1,77000
41.7306263,44.7631878,272159,135,0,0,0,0,9,7,5,3,0,2,140000
